gvkey	datadate	fyear	indfmt	consol	popsrc	datafmt	tic	conm	curcd	aco	act	aqc	capx	ceq	che	cogs	cshfd	csho	cshpri	dlc	dltt	dp	epsfi	epsfx	gdwlip	ib	ibadj	invt	lct	mib	niadj	oiadp	oibdp	pstk	recd	rect	rectr	sale	seq	txt	wdp	xint	xpp	xsga	exchg	cik	costat	prcc_f	loc	sic
001230	20011231	2001	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	104.4000	919.0000	0.0000	453.8000	851.3000	660.6000	1686.6000	26.4990	26.5280	26.4990	43.2000	852.2000	207.8000	-1.6400	-1.6400		-43.4000	-43.4000	70.2000	752.0000	0.0000	-43.4000	-111.4000	96.4000	0.0000	1.8000	83.8000	83.8000	2152.8000	851.3000	-20.1000	-10.2000	47.4000		369.8000	11	0000766421	A	29.1000	USA	4512
001230	20021231	2002	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	143.2000	976.3000	0.0000	200.9000	655.7000	635.8000	1758.0000	26.5460	26.5740	26.5460	48.6000	856.7000	194.7000	-4.4700	-2.5300		-67.2000	-67.2000	71.9000	777.9000	0.0000	-118.6000	-88.8000	105.9000	0.0000	2.3000	125.4000	125.4000	2224.1000	655.7000	-34.6000		46.3000		360.2000	11	0000766421	A	21.6500	USA	4512
001230	20031231	2003	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	169.5000	1148.3000	0.0000	369.2000	674.2000	812.3000	1934.0000	26.7300	26.7620	26.6480	206.7000	906.9000	202.2000	0.5100	0.5100		13.5000	13.5000	45.8000	1017.4000	0.0000	13.5000	-8.9000	193.3000	0.0000	1.7000	120.7000	120.7000	2444.8000	674.2000	15.5000		47.8000		317.5000	11	0000766421	A	27.2900	USA	4512
001230	20041231	2004	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	227.0000	1242.3000	0.0000	186.7000	664.8000	873.9000	2170.2000	26.8590	27.1260	26.8590	53.4000	989.6000	205.2000	-0.5700	-0.5700		-15.3000	-15.3000	42.0000	957.3000	0.0000	-15.3000	7.1000	212.3000	0.0000	3.0000	99.4000	99.4000	2723.8000	664.8000	-5.3000	-40.2000	51.9000		341.3000	11	0000766421	A	33.4900	USA	4512
001230	20051231	2005	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	277.5000	1540.3000	0.0000	424.5000	827.6000	1094.6000	2457.6000	33.9170	33.4540	27.6090	113.5000	969.1000	143.4000	-0.0100	2.6500		84.5000	84.5000	44.0000	1165.6000	0.0000	-5.9000	8.3000	151.7000	0.0000	2.7000	124.2000	93.6000	2975.3000	827.6000	52.7000		63.0000	56.3000	366.0000	11	0000766421	A	35.7200	USA	4512
001230	20061231	2006	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	268.2000	1572.3000	0.0000	682.1000	885.5000	1125.2000	2666.6000	37.9390	40.2940	37.9390	119.1000	1031.7000	157.5000	-1.3900	-1.3900		-52.6000	-52.6000	44.7000	1236.7000	0.0000	-52.6000	127.0000	284.5000	0.0000	2.9000	134.2000	92.8000	3334.4000	885.5000	-35.2000	-189.5000	78.0000	65.4000	383.3000	11	0000766421	A	39.5000	USA	4512
001230	20071231	2007	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	271.0000	1390.3000	0.0000	834.4000	1024.0000	934.7000	2711.5000	40.4240	38.0510	40.1250	175.9000	1124.6000	177.4000	3.0900	3.0900		125.0000	125.0000	46.6000	1388.0000	0.0000	125.0000	226.1000	403.5000	0.0000	1.6000	138.0000	109.1000	3506.0000	1024.0000	76.6000		88.0000	64.7000	391.0000	11	0000766421	A	25.0100	USA	4512
001230	20081231	2008	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	262.9000	1508.9000	0.0000	412.8000	661.9000	1077.4000	3176.1000	36.3430	36.2740	36.3430	244.9000	1596.3000	204.6000	-3.7400	-3.7400		-135.9000	-135.9000	51.9000	1360.6000	0.0000	-135.9000	-130.4000	74.2000	0.0000	1.5000	116.7000	74.8000	3620.3000	661.9000	-77.3000		102.3000	58.3000	370.0000	11	0000766421	A	29.2500	USA	4512
001230	20091231	2009	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	284.6000	1634.3000	0.0000	438.4000	872.1000	1192.1000	2522.9000	36.1540	35.5910	35.8150	156.0000	1699.2000	219.2000	3.3600	3.3600		121.6000	121.6000	45.8000	1258.3000	0.0000	121.6000	312.0000	531.2000	0.0000	1.5000	111.8000	85.6000	3399.8000	872.1000	81.3000		100.5000	72.0000	345.7000	11	0000766421	A	34.5600	USA	4512
001230	20101231	2010	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	288.6000	1662.0000	0.0000	183.0000	1105.4000	1208.2000	2762.5000	36.7860	35.9240	35.8220	221.2000	1313.0000	230.5000	6.8300	6.8300		251.1000	251.1000	45.1000	1424.7000	0.0000	251.1000	484.8000	715.3000	0.0000	0.9000	120.1000	90.6000	3832.3000	1105.4000	154.8000		108.3000	83.8000	354.5000	11	0000766421	A	56.6900	USA	4512
