letter_type,date_trans,cik,Name,Business
UPLOAD,2010-03-13,894081,Air Transport Services Group Inc,OH
UPLOAD,2010-05-03,319687,United Airlines Inc,IL
CORRESP,2010-05-06,319687,United Airlines Inc,IL
UPLOAD,2010-05-13,319687,United Airlines Inc,IL
CORRESP,2010-06-21,793733,Skywest Inc,UT
UPLOAD,2010-07-09,793733,Skywest Inc,UT
CORRESP,2010-07-15,4515,,
CORRESP,2010-07-15,6201,American Airlines Group Inc,TX
UPLOAD,2010-07-19,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2010-07-22,100517,United Continental Holdings Inc,IL
CORRESP,2010-07-22,793733,Skywest Inc,UT
UPLOAD,2010-07-26,793733,Skywest Inc,UT
CORRESP,2010-08-02,1166291,Pinnacle Airlines Corp,TN
CORRESP,2010-08-02,100517,United Continental Holdings Inc,IL
UPLOAD,2010-08-12,100517,United Continental Holdings Inc,IL
CORRESP,2010-08-16,100517,United Continental Holdings Inc,IL
UPLOAD,2010-08-19,1166291,Pinnacle Airlines Corp,TN
CORRESP,2010-09-03,948846,Airtran Holdings Inc,FL
UPLOAD,2010-09-17,1158463,Jetblue Airways Corp,NY
UPLOAD,2010-09-20,100517,United Continental Holdings Inc,IL
UPLOAD,2010-09-20,101001,,
UPLOAD,2010-09-23,701345,US Airways Group Inc,AZ
UPLOAD,2010-09-24,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2010-09-27,774937,Alas Aviation Corp,GA
CORRESP,2010-10-01,1158463,Jetblue Airways Corp,NY
UPLOAD,2010-10-06,1405419,Gulfstream International Group Inc,FL
CORRESP,2010-10-12,701345,US Airways Group Inc,AZ
CORRESP,2010-10-12,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2010-10-13,1159154,Republic Airways Holdings Inc,IN
CORRESP,2010-10-14,1158463,Jetblue Airways Corp,NY
CORRESP,2010-10-20,1405419,Gulfstream International Group Inc,FL
CORRESP,2010-10-21,774937,Alas Aviation Corp,GA
UPLOAD,2010-10-21,774937,Alas Aviation Corp,GA
